Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO12327	CTP synthase; ATP-binding; Glutamine amidotransferase; Ligase; Magnesium; Metal-binding; Nucleotide-binding; Pyrimidine biosynthesis	CTP synthase N-terminus; Glutamine amidotransferase class-I; Peptidase C26; CobQ/CobB/MinD/ParA nucleotide binding domain; CobB/CobQ-like glutamine amidotransferase domain; DJ-1/PfpI family	Glutamine amidotransferase type 1 domain profile	Pyrimidine metabolism [acb00240]; Metabolic pathways [acb01100]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]; CTP synthase activity [GO:0003883]; pyrimidine nucleotide biosynthetic process [GO:0006221]; hydrolase activity [GO:0016787]; glutamine metabolic process [GO:0006541]; catalytic activity [GO:0003824]; cobalamin biosynthetic process [GO:0009236]	NULL
ABO12324	UPF0702 transmembrane protein YcaP; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Protein of unknown function (DUF421); Nine Cysteines Domain of family 3 GPCR	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G-protein coupled receptor activity [GO:0004930]; G-protein coupled receptor signaling pathway [GO:0007186]	NULL
ABO12561	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase; Cell membrane; Complete proteome; Iron; Membrane; Metal-binding; Monooxygenase; Oxidoreductase; Reference proteome; Ubiquinone biosynthesis	Ubiquinone biosynthesis protein COQ7; Rubrerythrin; Protein of unknown function (DUF455)	NULL	Metabolic pathways [acb01100]; Ubiquinone and other terpenoid-quinone biosynthesis [acb00130]; Biosynthesis of secondary metabolites [acb01110]	plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]; ubiquinone biosynthetic process [GO:0006744]; ubiquinone biosynthetic process [GO:0006744]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; metal ion binding [GO:0046872]; oxidation-reduction process [GO:0055114]	NULL
ABO13266	Inner membrane metabolite transport protein YhjE; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix; Transport	Sugar (and other) transporter; Major Facilitator Superfamily; MFS/sugar transport protein; Deltamethrin resistance; Microsomal signal peptidase 25 kDa subunit (SPC25)	Sugar transport proteins signature 1; Major facilitator superfamily (MFS) profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; peptidase activity [GO:0008233]; signal peptide processing [GO:0006465]; signal peptidase complex [GO:0005787]; integral component of membrane [GO:0016021]; transporter activity [GO:0005215]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	NULL
ABO13268	Protein translocase subunit SecA; ATP-binding; Cell inner membrane; Cell membrane; Cytoplasm; Membrane; Metal-binding; Nucleotide-binding; Protein transport; Translocation; Transport; Zinc	SecA DEAD-like domain; SecA Wing and Scaffold domain; SecA preprotein cross-linking domain; SEC-C motif; Helicase conserved C-terminal domain; Putative type VII ESX secretion system translocon, EccE	SecA family signature; SecA family profile	Bacterial secretion system [acb03070]; Quorum sensing [acb02024]; Protein export [acb03060]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein import [GO:0017038]; protein targeting [GO:0006605]; ATP binding [GO:0005524]; protein import [GO:0017038]; membrane [GO:0016020]; protein import [GO:0017038]; membrane [GO:0016020]; protein import [GO:0017038]; membrane [GO:0016020]; protein targeting [GO:0006605]; intracellular protein transport [GO:0006886]; membrane [GO:0016020]	NULL
ABO11063	Uncharacterized MscS family protein AF_1546; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Mechanosensitive ion channel	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]; transmembrane transport [GO:0055085]; membrane [GO:0016020]	NULL
ABO13434	UPF0761 membrane protein ACIAD3168; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Virulence factor BrkB	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	Vir
ABO13532	Uncharacterized amino acid permease YbgF; Amino-acid transport; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix; Transport	Amino acid permease; Amino acid permease; Poxvirus protein I5	Amino acid permeases signature	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; transport [GO:0006810]; transmembrane transport [GO:0055085]; membrane [GO:0016020]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333]; membrane [GO:0016020]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	NULL
ABO13128	2-oxoglutarate dehydrogenase E1 component; Glycolysis; Oxidoreductase; Thiamine pyrophosphate	Transketolase, pyrimidine binding domain; Dehydrogenase E1 component; 2-oxoglutarate dehydrogenase C-terminal; 2-oxoglutarate dehydrogenase N-terminus; Sphingolipid Delta4-desaturase (DES)	NULL	Metabolic pathways [acb01100]; Lysine degradation [acb00310]; Biosynthesis of secondary metabolites [acb01110]; Microbial metabolism in diverse environments [acb01120]; Carbon metabolism [acb01200]; Citrate cycle (TCA cycle) [acb00020]; Biosynthesis of antibiotics [acb01130]; Tryptophan metabolism [acb00380]	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]; glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor [GO:0016624]; metabolic process [GO:0008152]	NULL
ABO13127	Succinate dehydrogenase iron-sulfur subunit; 2Fe-2S; 3Fe-4S; 4Fe-4S; Complete proteome; Electron transport; Iron; Iron-sulfur; Metal-binding; Oxidoreductase; Reference proteome; Transport; Tricarboxylic acid cycle	2Fe-2S iron-sulfur cluster binding domain; 4Fe-4S dicluster domain; 4Fe-4S dicluster domain; 4Fe-4S dicluster domain; 4Fe-4S dicluster domain; 4Fe-4S dicluster domain; 4Fe-4S double cluster binding domain; 4Fe-4S dicluster domain; 4Fe-4S binding domain; 4Fe-4S binding domain; 4Fe-4S binding domain; 4Fe-4S dicluster domain	4Fe-4S ferredoxin-type iron-sulfur binding region signature; 4Fe-4S ferredoxin-type iron-sulfur binding domain profile	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Microbial metabolism in diverse environments [acb01120]; Butanoate metabolism [acb00650]; Carbon metabolism [acb01200]; Citrate cycle (TCA cycle) [acb00020]; Biosynthesis of antibiotics [acb01130]; Oxidative phosphorylation [acb00190]	plasma membrane [GO:0005886]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron carrier activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]; aerobic respiration [GO:0009060]; respiratory electron transport chain [GO:0022904]; tricarboxylic acid cycle [GO:0006099]; electron carrier activity [GO:0009055]; iron-sulfur cluster binding [GO:0051536]	NULL
ABO13126	Succinate dehydrogenase flavoprotein subunit; Cell inner membrane; Cell membrane; Complete proteome; Electron transport; FAD; Flavoprotein; Membrane; Oxidoreductase; Reference proteome; Transport; Tricarboxylic acid cycle	FAD binding domain; Fumarate reductase flavoprotein C-term; FAD dependent oxidoreductase; Thi4 family; Pyridine nucleotide-disulphide oxidoreductase; Glucose inhibited division protein A; HI0933-like protein; FAD binding domain; NAD(P)-binding Rossmann-like domain; Pyridine nucleotide-disulphide oxidoreductase; Putative NAD(P)-binding	Fumarate reductase / succinate dehydrogenase FAD-binding site	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Microbial metabolism in diverse environments [acb01120]; Butanoate metabolism [acb00650]; Carbon metabolism [acb01200]; Citrate cycle (TCA cycle) [acb00020]; Biosynthesis of antibiotics [acb01130]; Oxidative phosphorylation [acb00190]	plasma membrane succinate dehydrogenase complex [GO:0045282]; electron carrier activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]; anaerobic respiration [GO:0009061]; electron transport chain [GO:0022900]; tricarboxylic acid cycle [GO:0006099]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; flavin adenine dinucleotide binding [GO:0050660]; tRNA processing [GO:0008033]; FAD binding [GO:0071949]; precorrin-2 dehydrogenase activity [GO:0043115]; porphyrin-containing compound biosynthetic process [GO:0006779]; siroheme biosynthetic process [GO:0019354]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]	NULL
ABO13125	Succinate dehydrogenase hydrophobic membrane anchor subunit; Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Reference proteome; Transmembrane; Transmembrane helix; Transport; Tricarboxylic acid cycle	Succinate dehydrogenase/Fumarate reductase transmembrane subunit; CybS, succinate dehydrogenase cytochrome B small subunit	NULL	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Microbial metabolism in diverse environments [acb01120]; Butanoate metabolism [acb00650]; Carbon metabolism [acb01200]; Citrate cycle (TCA cycle) [acb00020]; Biosynthesis of antibiotics [acb01130]; Oxidative phosphorylation [acb00190]	integral component of membrane [GO:0016021]; plasma membrane succinate dehydrogenase complex [GO:0045282]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; succinate dehydrogenase activity [GO:0000104]; tricarboxylic acid cycle [GO:0006099]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	NULL
ABO13120	Uncharacterized protein y4jE; Cell membrane; Complete proteome; Membrane; Plasmid; Reference proteome; Transmembrane; Transmembrane helix	Uncharacterised protein family (UPF0149); Carbamoyl-phosphate synthase small chain, CPSase domain	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	NULL
ABO12437	Biotin carboxyl carrier protein of acetyl-CoA carboxylase; Biotin; Complete proteome; Fatty acid biosynthesis; Fatty acid metabolism; Lipid biosynthesis; Lipid metabolism	Biotin-requiring enzyme; Biotin-lipoyl like; Glycine cleavage H-protein; HlyD family secretion protein; RnfC Barrel sandwich hybrid domain; Barrel-sandwich domain of CusB or HlyD membrane-fusion; Peptidase family M23; ATPsynthase alpha/beta subunit N-term extension; Putative stage IV sporulation protein YqfD	Biotinyl/lipoyl domain profile	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Propanoate metabolism [acb00640]; Microbial metabolism in diverse environments [acb01120]; Fatty acid metabolism [acb01212]; Carbon metabolism [acb01200]; Pyruvate metabolism [acb00620]; Fatty acid biosynthesis [acb00061]; Biosynthesis of antibiotics [acb01130]	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; fatty acid biosynthetic process [GO:0006633]	NULL
ABO12433	Probable transcriptional regulatory protein pdtaR; 3D-structure; Acetylation; Complete proteome; Phosphoprotein; Reference proteome; Transcription; Transcription antitermination; Transcription regulation; Two-component regulatory system	ANTAR domain; Response regulator receiver domain; Possible hemagglutinin (DUF637); Plant transposon protein	Response regulatory domain profile; ANTAR domain profile	NULL	cell wall [GO:0005618]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; anion binding [GO:0043168]; RNA binding [GO:0003723]; growth [GO:0040007]; phosphorelay signal transduction system [GO:0000160]; transcription antitermination [GO:0031564]; transcription, DNA-templated [GO:0006351]; RNA binding [GO:0003723]; phosphorelay signal transduction system [GO:0000160]; hydrolase activity, acting on ester bonds [GO:0016788]; phosphorelay signal transduction system [GO:0000160]; RNA binding [GO:0003723]	NULL
ABO11394	Glutaminase; Complete proteome; Hydrolase; Reference proteome	Glutaminase; STAS domain; STAS domain	STAS domain profile	Metabolic pathways [acb01100]; Arginine biosynthesis [acb00220]; Alanine, aspartate and glutamate metabolism [acb00250]; D-Glutamine and D-glutamate metabolism [acb00471]	glutaminase activity [GO:0004359]; glutamine metabolic process [GO:0006541]; glutaminase activity [GO:0004359]; glutamine metabolic process [GO:0006541]	NULL
ABO12438	Biotin carboxylase; 3D-structure; ATP-binding; Biotin; Complete proteome; Fatty acid biosynthesis; Fatty acid metabolism; Ligase; Lipid biosynthesis; Lipid metabolism; Nucleotide-binding; Reference proteome	Carbamoyl-phosphate synthase L chain, ATP binding domain; Biotin carboxylase, N-terminal domain; Biotin carboxylase C-terminal domain; D-ala D-ala ligase C-terminus; ATP-grasp in the biosynthetic pathway with Ter operon; ATP-grasp domain; ATP-grasp domain	Carbamoyl-phosphate synthase subdomain signature 1; Carbamoyl-phosphate synthase subdomain signature 2; ATP-grasp fold profile; Biotin carboxylation domain profile	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Propanoate metabolism [acb00640]; Microbial metabolism in diverse environments [acb01120]; Fatty acid metabolism [acb01212]; Carbon metabolism [acb01200]; Pyruvate metabolism [acb00620]; Fatty acid biosynthesis [acb00061]; Biosynthesis of antibiotics [acb01130]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; ATP binding [GO:0005524]; D-alanine-D-alanine ligase activity [GO:0008716]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; biotin carboxylase activity [GO:0004075]; ATP binding [GO:0005524]	NULL
ABO11981	Biopolymer transport protein ExbD; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Transmembrane; Transmembrane helix; Transport	Biopolymer transport protein ExbD/TolR; Phage Tail Collar Domain	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transporter activity [GO:0005215]; protein transport [GO:0015031]; transporter activity [GO:0005215]; transport [GO:0006810]; membrane [GO:0016020]	NULL
